PLAYER_NAME,TEAM_ABBREVIATION,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
Frank Jackson,NOP,1168.863333,194,447,53,169,54,73,25,109,69,48,25,2,23,92,65,495,-135
Josh Jackson,PHX,1988.1266670000002,347,841,73,225,143,213,66,281,183,173,74,56,71,209,178,910,-430
Justin Jackson,SAC,1082.6183330000001,125,295,55,159,41,50,25,121,68,22,23,13,1,67,52,346,-64
Reggie Jackson,DET,2288.868333,441,1047,174,471,204,236,45,171,344,148,55,9,40,208,189,1260,44
Jaren Jackson Jr.,MEM,1514.688333,298,589,51,142,151,197,73,199,64,98,52,82,41,220,205,798,-103
LeBron James,LAL,1937.401667,558,1095,111,327,278,418,57,408,454,197,72,33,52,94,320,1505,116
Jonas Jerebko,GSW,1217.963333,163,355,69,188,64,80,72,216,96,43,27,18,13,137,75,459,56
Amir Johnson,PHI,529.1716667,79,157,12,40,31,41,47,100,60,45,16,13,6,99,45,201,-70
James Johnson,MIA,1163.838333,164,379,50,149,50,70,22,154,135,74,35,27,15,114,59,428,-105
Stanley Johnson,DET,960.595,133,349,51,181,41,51,25,150,60,55,48,13,27,92,48,358,-121
Tyler Johnson,MIA,1123.323333,171,401,72,204,61,88,19,102,112,63,40,21,20,72,81,475,-60
Nikola Jokic,DEN,2503.586667,616,1206,83,270,289,352,228,637,580,248,108,55,67,228,418,1604,315
Tyus Jones,MIN,1560.423333,185,446,40,126,58,69,23,111,327,47,81,5,21,78,76,468,-2
Derrick Jones Jr.,MIA,1153.536667,160,324,28,91,74,122,96,144,37,43,46,42,26,123,101,422,-22
DeAndre Jordan,DAL,1554.056667,208,323,0,0,135,198,161,525,99,111,33,53,22,125,189,551,-16
Cory Joseph,IND,2063.481667,226,548,55,171,30,43,39,240,321,80,94,22,22,131,92,537,211
Frank Kaminsky,CHA,754.69,138,298,50,139,79,107,39,124,63,41,12,12,12,68,80,405,42
Enes Kanter,NYK,1127.66,251,468,7,22,105,129,171,290,84,79,18,17,38,106,134,614,-216
Luke Kennard,DET,1436.63,228,520,106,269,51,61,12,171,114,57,26,10,17,92,60,613,52
Michael Kidd-Gilchrist,CHA,1179.163333,158,332,16,47,95,123,88,158,61,43,32,39,38,156,108,427,-49
Maxi Kleber,DAL,1502.161667,175,386,77,218,58,74,90,239,70,54,36,78,18,143,74,485,64
Kevin Knox II,NYK,2157.893333,338,914,125,364,162,226,61,274,82,114,43,24,60,175,174,963,-638
Furkan Korkmaz,PHI,679.2316667,98,245,47,144,36,44,16,91,52,25,29,2,9,62,42,279,61
Luke Kornet,NYK,784.0033333,107,283,70,193,38,46,28,107,54,25,27,42,6,41,51,322,-57
Kyle Korver,UTA,1082.625,166,407,113,294,47,57,9,124,64,42,22,10,16,84,48,492,170
Kosta Koufos,SAC,501.56166669999993,73,153,0,0,10,24,52,125,36,27,15,18,8,68,27,156,-32
Rodions Kurucs,BKN,1293.75,202,449,58,184,72,92,56,190,52,77,41,25,42,146,70,534,-2
Kyle Kuzma,LAL,2313.5816670000004,496,1087,128,422,188,250,60,322,178,133,41,26,68,170,197,1308,-58
Zach LaVine,CHI,2170.855,530,1135,120,321,312,375,40,254,283,215,60,26,99,140,260,1492,-301
Jeremy Lamb,CHA,2250.09,431,979,115,330,231,260,65,369,172,80,88,32,45,140,210,1208,49
Jake Layman,POR,1326.936667,216,424,59,181,50,71,56,161,53,46,31,30,17,116,83,541,71
TJ Leaf,IND,521.5666666999999,99,183,8,31,19,31,43,82,24,12,9,19,9,35,25,225,44
Alex Len,ATL,1544.075,320,648,74,204,140,216,158,266,86,97,27,69,45,200,157,854,-163
Kawhi Leonard,TOR,2040.1833329999997,560,1129,112,302,364,426,78,361,199,121,106,24,49,87,357,1596,356
Meyers Leonard,POR,877.6783332999998,132,242,50,111,43,51,49,184,75,43,13,9,6,105,54,357,-77
Damian Lillard,POR,2837.756667,681,1533,237,643,468,513,68,303,551,212,88,34,90,148,394,2067,494
Jeremy Lin,ATL,1002.865,180,386,44,132,142,168,16,103,181,98,38,7,24,96,187,546,-111
Shaun Livingston,GSW,966.8916667000001,109,210,0,2,40,51,42,75,114,38,31,27,11,74,44,258,46
Kevon Looney,GSW,1481.323333,217,347,1,10,65,105,194,223,123,51,46,53,30,211,96,500,306
Brook Lopez,MIL,2321.595,355,786,187,512,112,133,33,363,98,82,51,179,15,189,127,1009,584
Robin Lopez,CHI,1605.681667,304,535,7,31,89,123,140,146,89,96,11,78,19,124,147,704,-142
Kyle Lowry,TOR,2213.2933329999996,304,739,157,453,161,194,41,271,564,182,91,31,30,166,247,926,536
Trey Lyles,DEN,1119.695,207,495,51,200,81,116,44,202,87,68,30,23,24,93,97,546,4
Shelvin Mack,MEM,1204.31,161,389,46,128,53,75,18,84,182,62,45,4,36,81,60,421,-204
Lauri Markkanen,CHI,1682.1283329999999,342,795,120,332,170,195,74,396,75,85,37,33,38,122,164,974,-197
Jarell Martin,ORL,327.88,43,104,20,57,9,11,11,62,18,11,3,8,6,51,17,115,31
Wesley Matthews,DAL,1311.741667,194,469,100,263,87,110,20,82,100,58,33,12,23,102,102,575,-40
CJ McCollum,POR,2375.256667,571,1243,167,445,159,192,62,220,207,106,55,28,64,172,166,1468,349
T.J. McConnell,PHI,1470.285,220,419,14,42,29,37,28,146,258,91,79,17,19,105,44,483,-9
Doug McDermott,IND,1339.665,207,422,84,206,66,79,17,92,67,42,18,8,24,104,51,564,132
JaVale McGee,LAL,1670.693333,400,641,1,12,96,152,195,371,52,108,47,148,21,208,158,897,-158
Rodney McGruder,MIA,1549.715,186,461,79,225,52,72,60,178,112,64,36,12,29,115,67,503,-38
Alfonzo McKinnie,GSW,1003.358333,134,275,42,118,27,48,81,166,31,30,18,15,20,134,48,337,11
De'Anthony Melton,PHX,983.89,100,256,29,95,21,28,25,109,159,75,68,23,11,113,49,250,-168
Khris Middleton,MIL,2393.3383329999997,506,1148,179,474,216,258,50,411,331,174,80,7,61,172,188,1407,552
Darius Miller,NOP,1757.505,189,484,133,364,56,71,14,114,146,59,40,23,15,165,60,567,17
Patty Mills,SAS,1907.7083329999998,282,663,159,404,88,103,24,158,245,93,49,10,12,129,124,811,201
Paul Millsap,DEN,1894.5183329999998,322,665,58,159,181,249,153,352,141,95,83,54,51,183,223,883,342
Donovan Mitchell,UTA,2598.271667,661,1530,188,519,319,396,59,257,322,218,106,31,96,208,295,1829,371
Malik Monk,CHA,1258.095,227,586,109,330,90,102,16,121,117,86,37,19,32,106,88,653,-44
E'Twaun Moore,NOP,1463.013333,256,532,76,176,45,59,35,92,102,59,40,8,27,112,51,633,9
Monte Morris,DEN,1970.2083329999998,346,702,94,227,65,81,35,159,297,52,73,4,39,102,101,851,179
Marcus Morris Sr.,BOS,2090.506667,377,844,146,389,146,173,76,382,109,92,43,25,36,181,165,1046,74
Emmanuel Mudiay,NYK,1607.061667,330,740,69,210,144,186,33,163,228,140,43,19,56,103,140,873,-357
Jamal Murray,DEN,2447.3116670000004,513,1173,152,414,189,223,65,252,363,158,67,27,51,153,204,1367,245
Mike Muscala,PHI,1041.168333,109,278,68,199,63,77,51,149,62,43,18,27,9,112,59,349,62
Abdel Nader,OKC,693.6566667000001,91,215,32,100,27,36,14,102,20,26,20,12,8,68,35,241,-154
Larry Nance Jr.,CLE,1795.4433329999997,249,479,33,98,96,134,168,384,214,97,100,40,24,192,159,627,-324
Shabazz Napier,BKN,982.8366667000001,169,435,76,228,115,138,18,82,143,66,41,16,27,67,112,529,14
Georges Niang,UTA,516.3483333,86,181,43,105,20,24,11,76,35,23,10,6,11,57,19,235,-93
Joakim Noah,MEM,692.485,110,213,0,1,78,109,58,180,89,50,20,31,24,96,83,298,4
Nerlens Noel,OKC,1055.616667,162,276,0,0,54,79,127,198,45,48,66,96,10,166,101,378,-75
Dirk Nowitzki,DAL,795.14,135,376,64,205,39,50,5,153,35,18,9,18,2,76,40,373,-65
Frank Ntilikina,NYK,903.6033332999999,95,282,33,115,23,30,12,75,121,56,30,14,10,104,39,246,-185
Jusuf Nurkic,POR,1973.5533329999998,420,826,3,29,282,365,243,505,233,168,71,103,66,250,307,1125,428
David Nwaba,CLE,984.23,126,262,24,75,58,85,41,122,54,29,36,17,28,106,69,334,-77
Royce O'Neale,UTA,1671.105,163,343,68,176,32,42,22,263,124,70,54,24,19,172,51,426,172
Kyle O'Quinn,IND,370.71666669999996,69,136,1,12,17,21,29,90,56,31,9,25,6,68,21,156,5
Semi Ojeleye,BOS,594.4383333,67,158,28,89,24,39,24,62,23,19,10,4,10,43,31,186,70
Jahlil Okafor,NOP,934.8483332999999,212,362,1,5,59,89,82,196,40,52,15,40,30,96,97,484,-118
