PLAYER_NAME,TEAM_ABBREVIATION,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
P.J. Tucker,HOU,2802.126667,207,523,146,387,41,59,121,358,96,63,132,39,16,252,111,601,242
Evan Turner,POR,1605.713333,204,443,11,52,75,106,37,291,283,114,33,18,27,110,106,494,30
Myles Turner,IND,2118.816667,380,780,76,196,148,201,101,430,115,100,60,199,33,195,205,984,121
Ekpe Udoh,UTA,320.0116667,50,72,0,0,19,30,27,63,28,13,10,31,4,36,26,119,-51
Fred VanVleet,TOR,1760.2533329999999,246,600,112,296,97,115,21,146,307,82,57,20,39,110,116,701,298
Noah Vonleh,NYK,1721.695,207,440,46,137,111,156,113,415,129,88,46,51,31,174,155,571,-293
Nikola Vucevic,ORL,2510.176667,701,1354,84,231,179,227,224,736,307,159,81,89,60,157,216,1665,218
Dwyane Wade,MIA,1885.2266670000001,416,960,86,261,165,233,69,216,301,166,59,38,34,118,158,1083,-68
Moritz Wagner,LAL,446.18,71,171,22,77,43,53,17,68,24,39,11,13,17,57,38,207,-97
Dion Waiters,MIA,1137.903333,198,478,109,289,22,44,7,109,121,64,29,9,22,72,46,527,-38
Kemba Walker,CHA,2862.605,731,1684,260,731,380,450,52,309,484,211,102,34,126,131,422,2102,36
Tyrone Wallace,LAC,627.7183332999999,92,217,4,19,30,57,20,81,42,36,21,7,32,83,48,218,56
T.J. Warren,PHX,1359.998333,297,611,77,180,101,124,31,143,64,52,51,29,32,119,93,772,-225
Russell Westbrook,OKC,2629.433333,630,1473,119,411,296,451,109,698,784,325,142,33,68,245,343,1675,294
Derrick White,SAS,1727.973333,260,543,48,142,95,123,35,212,263,97,67,47,33,145,138,663,152
Hassan Whiteside,MIA,1674.226667,388,680,2,16,109,243,257,560,56,97,46,136,50,192,226,887,19
Andrew Wiggins,MIN,2542.7133329999997,498,1209,118,348,207,296,83,269,184,138,70,48,88,153,228,1321,-66
Kenrich Williams,NOP,1079.22,107,279,52,156,13,19,55,164,83,36,45,19,17,95,46,279,-87
Lou Williams,LAC,1992.588333,484,1138,105,291,425,485,40,182,402,181,57,11,73,80,351,1498,196
Marvin Williams,CHA,2133.263333,275,652,140,382,66,86,76,331,92,47,71,61,21,156,89,756,-6
D.J. Wilson,MIL,882.0383332999999,104,251,46,127,26,47,45,177,52,32,18,20,11,85,42,280,81
Justise Winslow,MIA,1959.505,324,749,96,256,86,137,63,292,282,142,72,19,43,177,128,830,119
Delon Wright,TOR,896.5983332999999,127,293,30,90,53,61,39,86,110,37,46,15,19,53,63,337,-41
Thaddeus Young,IND,2488.8383329999997,443,841,51,146,87,135,192,331,204,123,123,36,51,194,177,1024,134
Trae Young,ATL,2503.281667,525,1256,156,482,343,414,64,237,653,308,72,15,98,140,431,1549,-335
Cody Zeller,CHA,1242.963333,190,345,6,22,111,141,110,223,102,62,38,41,42,164,152,497,42
Ante Zizic,CLE,1081.968333,183,331,0,0,93,132,108,212,53,61,13,22,35,113,121,459,-80
