PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,SHOT_TYPE,SHOT_DISTANCE,SHOT_MADE_FLAG,YEAR,MONTH,DAY,HOME,Above the Break 3,Backcourt,In The Paint (Non-RA),Left Corner 3,Mid-Range,Restricted Area,Right Corner 3,Back Court(BC),Center(C),Left Side Center(LC),Left Side(L),Right Side Center(RC),Right Side(R),Driving Layup Shot,Jump Shot,Layup Shot,Pullup Jump shot,Step Back Jump shot,LOC_RATIO
4,2,59,0,14,0,2011,1,24,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.7530964229835532
4,1,54,0,1,0,2011,1,24,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.06848843993452325
1,10,34,0,18,1,2011,1,26,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.6363968855456282
2,11,36,0,20,1,2011,1,26,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.2628519814530725
2,8,34,0,15,0,2011,1,26,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.7100033592739426
2,5,2,0,16,0,2011,1,26,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.8022396505532767
2,4,2,0,20,1,2011,1,26,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2.7473461032087547
3,8,35,0,17,1,2011,1,26,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.9890060093888928
3,7,24,0,16,0,2011,1,26,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1.2999604057875669
3,0,54,1,25,0,2011,1,26,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.4150439450003823
3,0,0,1,37,0,2011,1,26,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.6762727357432534
4,6,8,1,24,1,2011,1,26,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-3.6239789013321118
1,7,46,0,0,1,2011,1,28,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.02280044792580258
1,6,54,0,18,1,2011,1,28,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-3.74899303943235
1,5,6,1,25,1,2011,1,28,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.7540171443513743
2,8,55,1,25,0,2011,1,28,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.9631088775743314
2,7,52,0,0,0,2011,1,28,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.007759396603003754
3,1,27,0,21,0,2011,1,28,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.017406750182260608
4,5,50,1,23,1,2011,1,28,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.2233981977402586
4,5,14,0,16,1,2011,1,28,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1.5931599800553788
4,3,35,1,27,1,2011,1,28,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.0280233457159262
4,1,46,1,26,1,2011,1,28,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.842887848347095
1,9,15,0,20,1,2011,1,30,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,91.60745423426748
1,8,44,0,21,0,2011,1,30,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-4.89050892121261
1,5,56,1,25,0,2011,1,30,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13.788267890274984
1,3,50,1,26,1,2011,1,30,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.15291264465116483
1,2,54,0,18,1,2011,1,30,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-3.2902763504580372
1,2,24,1,25,0,2011,1,30,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.723443231423818
1,0,8,1,25,1,2011,1,30,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1087213034938186
2,1,58,0,0,0,2011,1,30,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.023441917378323157
2,1,9,1,25,0,2011,1,30,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-6.663206567298313
2,0,1,1,25,0,2011,1,30,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.6183738485421324
3,8,3,1,23,0,2011,1,30,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.070435696984399
3,7,9,0,1,1,2011,1,30,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.06840134377740774
3,5,36,1,25,1,2011,1,30,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.6004768354666478
4,10,44,0,14,0,2011,1,30,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1.5911619166390603
4,10,33,0,1,1,2011,1,30,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0396273009743667
1,10,3,1,25,0,2011,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5740883365117857
1,2,39,0,22,0,2011,2,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1.5564366172726933
1,1,49,0,16,1,2011,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-1.8859548300483657
3,10,22,1,25,1,2011,2,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.1416363768320124
3,8,38,0,13,1,2011,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-1.4136268791997413
3,8,4,1,25,0,2011,2,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.7896273291940139
4,4,32,1,25,1,2011,2,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.7956914107943034
1,11,23,0,19,0,2011,2,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.3904692461304478
1,6,42,0,20,1,2011,2,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.6922067818797801
2,11,46,0,16,0,2011,2,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3.1148810978588823
2,8,34,1,23,1,2011,2,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.308401717803436
2,7,59,1,24,0,2011,2,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-29.09660505860821
2,5,36,0,9,0,2011,2,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.5142208953100129
2,1,8,0,2,0,2011,2,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.1166352288626224
3,4,45,1,24,1,2011,2,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-5.424944734957832
4,7,1,0,17,1,2011,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-1.6703372801272653
4,5,49,0,19,1,2011,2,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-3.1630905658091306
4,1,27,1,27,0,2011,2,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.1985229153057495
1,11,19,0,18,0,2011,2,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-2.79203600229229
1,5,35,1,26,0,2011,2,7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.7417571425067402
1,4,41,0,17,1,2011,2,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.8500091548417689
2,9,2,0,20,1,2011,2,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2.1349724645310024
2,0,27,0,21,1,2011,2,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2.7811605342367858
3,10,41,0,15,0,2011,2,7,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.9172382899280302
3,8,41,1,22,0,2011,2,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.3330505265282275
3,6,56,0,20,1,2011,2,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-5.708152753387815
3,3,36,0,20,0,2011,2,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.7931824123418264
4,11,7,1,24,0,2011,2,7,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,-1.4058388206299186
4,6,29,1,26,0,2011,2,7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.4934173634819427
4,1,44,1,25,0,2011,2,7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-6.882279827306473
4,0,50,1,26,0,2011,2,7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-2.2223101331442408
1,7,41,0,20,0,2011,2,9,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2.421318792819566
1,2,12,1,24,0,2011,2,9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.75857702032398
1,1,14,1,25,1,2011,2,9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.293797787042579
2,0,51,0,14,1,2011,2,9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1.1260526591939124
4,8,5,1,24,0,2011,2,9,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-1.1379886133582806
4,7,27,0,17,1,2011,2,9,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,55.71999793630702
1,3,1,0,20,1,2011,2,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-2.2971485983159985
2,5,16,0,1,1,2011,2,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.04049393647240838
2,4,17,1,25,1,2011,2,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.0570052582615226
2,3,33,1,24,1,2011,2,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.228169474612263
2,1,27,0,8,0,2011,2,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.4510763952170304
3,6,37,1,26,0,2011,2,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.4085925836025828
1,10,42,0,18,0,2011,2,13,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,8.117900440581838
1,1,52,0,12,1,2011,2,13,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.1943539690316245
2,2,38,0,2,0,2011,2,13,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.14846547672938
2,2,30,1,23,1,2011,2,13,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.2163750461863239
2,0,6,1,26,0,2011,2,13,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.0571513423635706
3,8,39,1,26,1,2011,2,13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.12671247093124094
3,7,47,0,1,0,2011,2,13,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.06511643716200877
3,3,19,1,23,0,2011,2,13,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.2215843611592845
3,2,53,0,19,0,2011,2,13,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1.1358238488179093
3,0,28,0,17,1,2011,2,13,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3.722962898060079
4,11,44,0,15,1,2011,2,13,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2.989102331815387
4,6,9,1,24,0,2011,2,13,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,-1.986492761900412
1,9,25,0,2,1,2011,2,15,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.12416554305301568
2,2,7,0,2,1,2011,2,15,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.10177986336854493
3,7,39,1,25,1,2011,2,15,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-38.83697268455377
3,7,4,1,25,1,2011,2,15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-4.780463735381437
3,1,15,1,23,1,2011,2,15,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-1.282307988292932
1,10,36,0,18,0,2011,2,16,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.827287547883374
1,9,19,1,22,0,2011,2,16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-1.0538957314633268
1,7,36,1,23,0,2011,2,16,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.228239491067392
1,4,32,0,21,0,2011,2,16,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1.1333408078668876
1,4,20,0,1,0,2011,2,16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.07199063506555617
2,0,47,1,25,0,2011,2,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4.956267593225844
1,7,6,0,0,0,2011,2,22,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.007652500458039808
2,7,46,0,21,1,2011,2,22,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,8.467201046265293
2,5,9,0,19,1,2011,2,22,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,9.160345191422696
2,4,27,0,2,1,2011,2,22,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.11753814352141709
3,8,27,0,19,1,2011,2,22,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-5.74671640235439
3,5,28,1,24,1,2011,2,22,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-1.7215561633479735
3,4,57,1,25,0,2011,2,22,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.3366725120340295
3,3,45,0,18,0,2011,2,22,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4.358411779909587
4,11,22,0,19,1,2011,2,22,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-7.549377227627494
2,0,30,0,19,1,2011,2,25,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,6.439787727261452
3,8,8,1,26,0,2011,2,25,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.5750112048583559
3,7,3,0,17,0,2011,2,25,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1.315528515526348
3,3,29,1,26,0,2011,2,25,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-4.083819124461867
3,0,33,0,12,0,2011,2,25,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.18391286608536053
3,0,3,0,2,1,2011,2,25,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0711190419894039
1,9,22,0,14,0,2011,2,27,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-2.9146628495430735
1,6,15,0,0,1,2011,2,27,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.002449594106172245
1,5,35,1,25,1,2011,2,27,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0002106843588388
1,0,4,0,1,1,2011,2,27,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.025215450664306048
2,10,55,0,19,1,2011,2,27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1.506300022309625
2,10,16,0,7,0,2011,2,27,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.3957292267531915
2,9,26,0,13,1,2011,2,27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.7836304073239838
2,6,13,0,1,1,2011,2,27,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.08308181178822117
2,5,1,0,22,0,2011,2,27,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-5.317316972518437
2,4,35,0,18,1,2011,2,27,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5364802603180467
2,0,0,1,52,0,2011,2,27,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.000982742802107967
3,11,45,1,23,0,2011,2,27,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.1975335423969127
3,8,32,1,24,1,2011,2,27,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.4225170048187126
3,2,24,0,20,1,2011,2,27,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-1.2041336542496999
3,0,54,0,21,0,2011,2,27,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,7.050089578499363
3,0,3,0,8,0,2011,2,27,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.0762020694648327
4,7,6,1,24,1,2011,2,27,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.467079074486472
4,3,31,1,24,1,2011,2,27,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.375133264398588
4,2,7,1,24,1,2011,2,27,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1.267574304019083
1,9,40,0,20,0,2011,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.12604147023803158
1,4,1,1,27,0,2011,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.9523486116636642
1,0,31,0,18,0,2011,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.1382442885742179
1,0,0,1,27,0,2011,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.197523508197036
2,10,35,0,22,0,2011,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1.579219037185078
3,11,12,1,26,1,2011,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.9235469725908361
3,5,57,1,26,1,2011,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-9.310806487984058
3,5,34,0,20,0,2011,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-89.0890362484457
3,4,15,1,25,1,2011,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.2161096339621564
3,2,51,0,5,1,2011,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.004061587024513405
4,8,1,0,15,0,2011,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1.241903096150791
4,5,41,1,24,1,2011,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-1.227101770783984
4,4,58,0,15,1,2011,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.9587158584333708
4,1,29,1,25,0,2011,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.22256625819502351
4,1,8,0,1,0,2011,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.08887138505735935
4,0,20,1,25,0,2011,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.9255497246311305
1,9,58,1,26,0,2011,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-2.23608499236218
1,9,6,0,11,0,2011,3,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.7787362358100428
1,8,34,1,23,1,2011,3,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.7576954784770722
1,5,56,0,2,1,2011,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.10988239623603446
1,5,29,0,14,1,2011,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6770058672314087
2,4,21,0,1,0,2011,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.041093063960713945
2,0,0,1,26,1,2011,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.8657233879589854
3,11,46,1,25,1,2011,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.7842023134897755
3,10,31,1,25,0,2011,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.179465187065379
3,5,45,0,14,0,2011,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.7626992123179676
3,5,27,0,16,1,2011,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1.2232702617912616
3,0,33,0,13,0,2011,3,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.6100288938231478
4,6,18,0,2,0,2011,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.12897534271178263
4,5,48,0,17,1,2011,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.8812646706300841
4,4,56,1,26,0,2011,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.9235469725908361
4,4,35,1,27,0,2011,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.0597987715675052
1,10,0,0,21,0,2011,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1.759705004727849
1,8,59,0,18,1,2011,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1.886907823510441
1,6,41,1,24,1,2011,3,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.03514826550072157
1,5,35,1,24,0,2011,3,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.1372607392242527
1,4,17,0,6,0,2011,3,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.1782554402584958
2,3,24,0,11,0,2011,3,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.22568682548268126
2,0,29,0,22,0,2011,3,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.559717977503499
4,8,25,0,16,1,2011,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.7607591703940572
4,7,42,1,24,0,2011,3,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.0079662870995785
4,5,15,1,24,0,2011,3,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.206432683413729
4,5,6,0,1,1,2011,3,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.0670257636817247
1,9,22,0,2,1,2011,3,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.09362122529603827
1,5,7,0,17,0,2011,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1.5006359496089399
1,2,5,0,12,0,2011,3,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.8355441647845285
1,1,20,0,22,1,2011,3,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1.4937093714247887
2,4,36,0,16,0,2011,3,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1.116345950759733
2,3,0,0,0,1,2011,3,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.01681350528112204
2,0,2,0,18,1,2011,3,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1.1341768032175947
3,10,52,0,13,0,2011,3,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.8535774236397091
3,8,31,0,14,0,2011,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.5889366361155951
3,4,53,1,25,0,2011,3,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.0858952958244434
3,2,49,0,16,1,2011,3,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-2.426059754358459
3,1,58,0,0,1,2011,3,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.007447307075747189
5,4,18,0,21,0,2011,3,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,29.345642701794993
5,0,43,1,25,1,2011,3,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,30.478501868779578
5,0,19,1,25,0,2011,3,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.004035171833458
1,6,58,1,25,0,2011,3,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.43219033380720506
2,11,41,1,24,1,2011,3,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.1662297722252806
2,8,10,1,25,1,2011,3,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.014048897665257
2,3,17,0,15,0,2011,3,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.9415221133559758
2,1,35,0,0,1,2011,3,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.0024991889425335723
3,10,43,0,16,1,2011,3,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.8665702405095393
3,9,17,0,1,1,2011,3,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.03434366084445114
3,7,58,0,2,0,2011,3,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.0792435243361332
3,7,0,0,20,0,2011,3,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.5022590905921205
3,5,56,0,18,1,2011,3,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1.0919503451524168
4,5,21,0,2,0,2011,3,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.037268191848254195
4,3,46,1,25,0,2011,3,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.6089763880402456
